student,collabs,order
1,"[49, 83]",1
2,"[29, 42, 97]",1
3,[42],1
8,"[33, 46, 79]",1
8,"[33, 46, 79]",2
9,[74],1
10,[74],1
11,"[24, 100, 111, 126]",1
12,"[47, 84, 124]",1
13,"[19, 68]",1
14,[120],1
15,[19],1
17,"[50, 87, 123]",1
18,[74],1
19,"[33, 68, 74]",1
21,"[47, 129]",1
22,"[38, 74, 122]",1
23,"[36, 74]",1
24,[115],1
24,[115],2
25,[34],1
28,"[36, 74]",1
29,"[74, 79, 119]",1
30,[74],1
31,[47],1
33,"[8, 19]",1
34,[62],1
36,[23],1
38,"[22, 122]",1
41,[51],1
42,"[97, 127]",1
43,[117],1
44,"[12, 124]",1
45,[113],1
46,"[8, 100, 124]",1
47,"[21, 52, 129]",1
48,"[42, 65, 97]",1
49,"[1, 83]",1
50,"[17, 87, 123]",1
52,"[12, 47, 129]",1
53,[74],1
54,[127],1
55,"[118, 125]",1
56,[100],1
57,[43],1
58,[71],1
59,[81],1
60,"[74, 134]",1
62,"[34, 88, 116]",1
64,"[110, 116, 126]",1
65,"[37, 48, 107]",1
66,[115],1
67,[41],1
68,"[13, 19, 81]",1
70,"[39, 100, 132]",1
71,[58],1
72,[28],1
73,"[95, 112]",1
74,"[82, 92, 111]",1
75,[74],1
75,[74],2
76,[74],1
79,"[8, 29, 117]",1
81,"[70, 132, 134]",1
82,"[74, 92]",1
83,"[1, 49]",1
84,"[12, 47, 124]",1
85,"[95, 96, 98]",1
85,"[95, 96, 98]",2
87,"[17, 50, 123]",1
87,"[17, 50, 123]",2
88,"[62, 116]",1
92,"[74, 82, 107]",1
94,[132],1
95,"[73, 98, 112]",1
96,"[85, 95, 98]",1
97,"[42, 100, 127]",1
99,[28],1
100,"[46, 70, 124]",1
100,"[46, 70, 124]",2
101,"[26, 114, 115]",1
102,"[12, 84]",1
103,[47],1
106,[47],1
106,[74],2
107,"[53, 92, 96]",1
108,[74],1
108,[74],2
109,"[38, 110]",1
110,"[100, 111, 126]",1
111,"[100, 110, 126]",1
112,[73],1
113,[45],1
114,"[26, 101]",1
114,"[26, 101]",2
115,"[24, 66, 117]",1
115,"[24, 66, 117]",2
116,"[62, 64, 88]",1
117,"[43, 66, 79]",1
118,"[55, 125]",1
119,[29],1
120,[14],1
122,"[22, 38]",1
123,"[17, 50, 87]",1
124,"[12, 46, 100]",1
126,"[100, 110, 111]",1
127,"[42, 54, 97]",1
129,"[21, 47]",1
132,"[70, 81, 134]",1
134,"[60, 81, 132]",1